stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
LIN4F022,,Via Terlizzi - Ponte Troppoli,,41.18657362785610,16.58643232995480,,,,
LIN4F023,,Via Terlizzi - Hotel Garden,,41.18829561574780,16.58791316506100,,,,
LIN4F024,,Via Terlizzi - Villa Sofia,,41.18946332329420,16.58893133857030,,,,
LIN4F030,,Via Baccarini - civico 15,,41.20104580162910,16.60409405661300,,,,
LIN4F032,,Via F. Cavallotti - alt. Civ. 16/18,,41.20115267253370,16.60077019409640,,,,
LIN5F001,,CAPOLINEA area parcheggio via A. Olivetti n. 42,,41.21413278105690,16.54150129773060,,,,
LIN5F002,,Via A. Olivetti - Grossano - NETWORK,,41.21035583641740,16.54850689095610,,,,
LIN5F003,,Via A. Olivetti - EXPRIVIA,,41.20940233453800,16.55018143260400,,,,
LIN5F004,,Via A. Olivetti - DECATHLON,,41.20830098627820,16.55213286581600,,,,
LIN5F005,,Via A. Olivetti - MONGOLFIERA,,41.20655012673070,16.55537075023950,,,,
LIN5F006,,Via Degli Antichi Pastifici - CONF. SUD,,41.20251486200440,16.56249881317720,,,,
LIN5F007,,Via Degli Antichi Pastifici - INTREX,,41.20176902138510,16.56386398151730,,,,
LIN5F008,,Via dei Bottai - TECNEDIL,,41.19869975955800,16.56177175579240,,,,
LIN5F009,,Via Oleifici dell' Italia Meridionale - LA SICUREZZA,,41.20343498236540,16.56517341636110,,,,
LIN5F010,,Via Oleifici dell' Italia Meridionale - ALAS,,41.2038483329124,16.56441822041670,,,,
LIN5F011,,Via dei Funai,,41.20473735868710,16.56419301943710,,,,
LIN5F016,,"Piazza Garibaldi, monum. Calvario",,41.20273104935080,16.60171809363140,,,,
LIN5F023,,Via Madonna dei martiri - alt. Citta' degli Artisti,,41.20744176197510,16.58133113470630,,,,
LIN5F024,,Via dei Portuali - Outlet,,41.21436142922780,16.54960914813950,,,,
LIN5F025,,Via dei Portuali - Miragica,,41.21350387179150,16.55082410899250,,,,
LIN5F026,,Via A. Olivetti - CGM,,41.20667165380620,16.55549937691910,,,,
LIN5F027,,Via A. Olivetti - LIDL,,41.20790472080340,16.5532454175176,,,,
LIN5F028,,Via A. Olivetti - altezza EXPRIVIA,,41.20951160321380,16.55033616073690,,,,
LIN5F029,,Via A. Olivetti - altezza Grossano - NETWORK,,41.21045702870560,16.54862403039420,,,,
